file,line,element,context
README.md,59,ethnicity,"Ethnicity, Mother's Maiden Name, Gender Identity, Interpreter Required, IHI Status, IHI Record Status, IHI Verified Date, Medication Adherence, Authentication Time, Questionnaire URI, Direct Email, IE"
README.md,59,mothersMaidenName,"Ethnicity, Mother's Maiden Name, Gender Identity, Interpreter Required, IHI Status, IHI Record Status, IHI Verified Date, Medication Adherence, Authentication Time, Questionnaire URI, Direct Email, IE"
README.md,59,genderIdentity,"Ethnicity, Mother's Maiden Name, Gender Identity, Interpreter Required, IHI Status, IHI Record Status, IHI Verified Date, Medication Adherence, Authentication Time, Questionnaire URI, Direct Email, IE"
README.md,63,ethnicity,"- 10 CodeSystems (including Ireland-specific: Counties, Ethnicity, IHI Status)"
input/fsh/aliases.fsh,73,pronouns,Alias: $IndividualPronouns = http://hl7.org/fhir/StructureDefinition/individual-pronouns
input/fsh/extensions/Extensions.fsh,6,ethnicity,// │  IE Core Ethnicity                                                  │
input/fsh/extensions/Extensions.fsh,9,ethnicity,Extension: IECoreEthnicity
input/fsh/extensions/Extensions.fsh,10,ethnicity,Id: ie-core-ethnicity
input/fsh/extensions/Extensions.fsh,11,ethnicity,"Title: ""IE Core Ethnicity"""
input/fsh/extensions/Extensions.fsh,12,ethnicity,"Description: ""Records a patient's ethnicity as categorised within the Irish healthcare system, aligned with the Central Statistics Office (CSO) classifications."""
input/fsh/extensions/Extensions.fsh,16,ethnicity,* valueCode from https://hl7-ie.github.io/ie-core/fhir/ie/core/ValueSet/ie-core-ethnicity (required)
input/fsh/extensions/Extensions.fsh,19,mothersMaidenName,// │  IE Core Patient Mother Maiden Name                                 │
input/fsh/extensions/Extensions.fsh,22,mothersMaidenName,Extension: IECorePatientMotherMaidenName
input/fsh/extensions/Extensions.fsh,23,mothersMaidenName,Id: ie-core-patient-mother-maiden-name
input/fsh/extensions/Extensions.fsh,24,mothersMaidenName,"Title: ""IE Core Patient Mother Maiden Name"""
input/fsh/extensions/Extensions.fsh,25,mothersMaidenName,"Description: ""Records the mother's maiden (birth family) name for the patient."""
input/fsh/extensions/Extensions.fsh,31,genderIdentity,// │  IE Core Gender Identity                                            │
input/fsh/extensions/Extensions.fsh,34,genderIdentity,Extension: IECoreGenderIdentity
input/fsh/extensions/Extensions.fsh,35,genderIdentity,Id: ie-core-genderIdentity
input/fsh/extensions/Extensions.fsh,36,genderIdentity,"Title: ""IE Core Gender Identity"""
input/fsh/extensions/Extensions.fsh,37,genderIdentity,"Description: ""Records the patient's gender identity as understood within the Irish healthcare system."""
input/fsh/extensions/Extensions.fsh,41,genderIdentity,* valueCodeableConcept from https://hl7-ie.github.io/ie-core/fhir/ie/core/ValueSet/ie-core-gender-identity (extensible)
input/fsh/profiles/IECorePatient.fsh,13,ethnicity,IECoreEthnicity named ethnicity 0..1 MS and
input/fsh/profiles/IECorePatient.fsh,14,mothersMaidenName,http://hl7.org/fhir/StructureDefinition/patient-mothersMaidenName named mothersMaidenName 0..1 MS and
input/fsh/profiles/IECorePatient.fsh,15,genderIdentity,http://hl7.org/fhir/StructureDefinition/individual-genderIdentity named genderIdentity 0..* MS and
input/fsh/profiles/IECorePatient.fsh,16,pronouns,$IndividualPronouns named personalPronouns 0..* MS and
