hiqa_id,profile,path,ms,status,notes
1.1.1,IECorePatientEPrescription,Patient.name.prefix,Y,Aligned,
1.1.2,IECorePatientEPrescription,Patient.name.given,Y,Aligned,given 1..* in the ePrescription patient
1.1.3,IECorePatientEPrescription,Patient.name.family,Y,Aligned,family 1..1 in the ePrescription patient
1.1.4,IECorePatientEPrescription,Patient.name.suffix,Y,Aligned,
1.2.1,IECorePatientEPrescription,Patient.address.postalCode,Y,Aligned,Eircode format XXX XXXX (guidance only)
1.2.2,IECorePatientEPrescription,Patient.address.line,Y,Aligned,address 1..* and line 1..*
1.2.3,IECorePatientEPrescription,Patient.address.city,Y,Aligned,Dublin postal districts go here per HIQA
1.2.4,IECorePatientEPrescription,Patient.address.state,Y,Aligned,state 1..1; IE county binding (extensible)
1.2.5,IECorePatientEPrescription,Patient.address.country,Y,Aligned,
1.2.6,IECorePatientEPrescription,Patient.address.use,Y,Partial,use 1..1 MS; no HL7 code for homelessness (Requires Clarification)
1.2.7,IECorePatientEPrescription,Patient.address.type,N,Aligned,postal|physical|both
1.3.1,IECorePatientEPrescription,Patient.identifier:IHI,Y,Aligned,ie-pat-1 accepts 18 or 10 digits; system URI placeholder (OI-003)
1.3.2,IECorePatientEPrescription,Patient.identifier:PPSN,N,Partial,deliberately NOT MustSupport: legal basis Requires Clarification (OI-008); warning format rule
1.3.3,IECorePatientEPrescription,Patient.identifier,Y,Aligned,open slicing; PCRS scheme numbers typed with the IE Core PCRS scheme placeholder
1.3.3.1,IECorePatientEPrescription,Patient.identifier.type,Y,Aligned,
1.3.3.2,IECorePatientEPrescription,Patient.identifier.value,Y,Aligned,
1.3.3.3,IECorePatientEPrescription,Patient.identifier.period,Y,Aligned,
1.3.3.4,IECorePatientEPrescription,Patient.identifier.assigner,Y,Aligned,"assigner.display, e.g. HSE"
1.4.1,IECorePatientEPrescription,Patient.birthDate,Y,Aligned,birthDate 1..1; a legal requirement cross-border
1.4.2,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing,Y,Aligned,required when under 12 at authoredOn (invariant ie-rx-age-1; resolved within the Bundle)
1.4.2.1,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing.value[x],N,Aligned,Mandatory within the age cluster: valueAge.value 1..1
1.4.2.2,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing.value[x],N,Aligned,Mandatory within the age cluster: valueAge.code 1..1 (UCUM a|mo|d)
1.4.3,IECorePatientEPrescription,Patient.extension:sexAssignedAtBirth,Y,Aligned,individual-recordedSexOrGender with type LOINC 76689-9 (1..1 MS)
1.4.4,IECorePatientEPrescription,Patient.extension:gender-identity,Y,Aligned,"individual-genderIdentity (EU Base slice), 0..1 MS"
1.4.4.1,IECorePatientEPrescription,Patient.extension:gender-identity,Y,Partial,binding to ie-core-gender-identity not yet verified; no 'other gender' code (Phase 7)
1.4.4.2,IECorePatientEPrescription,Patient.extension:gender-identity,N,Aligned,valueCodeableConcept.text
1.5.1,IECorePatientEPrescription,Patient.telecom,Y,Aligned,
1.5.2,IECorePatientEPrescription,Patient.telecom,Y,Aligned,
1.5.3,IECorePatientEPrescription,Patient.telecom,Y,Aligned,
1.5.3.1,IECorePatientEPrescription,Patient.telecom.system,Y,Aligned,
1.5.3.2,IECorePatientEPrescription,Patient.telecom.value,Y,Aligned,
1.6.1,IECoreMedicationRequestEPrescription,,N,Gap,no 'reason for not recording allergies' (H-03)
1.6.2,IECoreAllergyIntolerance,AllergyIntolerance,Y,Partial,profile exists but is not linked to the prescription (H-03)
1.6.2.1,IECoreAllergyIntolerance,AllergyIntolerance.code,Y,Aligned,
1.6.2.2,IECoreAllergyIntolerance,AllergyIntolerance.reaction.substance,N,Partial,Required but not MS
1.6.2.3,IECoreAllergyIntolerance,AllergyIntolerance.note,N,Aligned,
1.6.2.4,IECoreAllergyIntolerance,AllergyIntolerance,N,Partial,provenance cluster: recorder/recordedDate not MS
1.6.2.4.1,IECoreAllergyIntolerance,AllergyIntolerance.identifier,N,Aligned,
1.6.2.4.2,IECoreAllergyIntolerance,AllergyIntolerance.recorder,N,Partial,Mandatory within the cluster; not MS
1.6.2.4.3,IECoreAllergyIntolerance,AllergyIntolerance.recordedDate,N,Partial,Mandatory within the cluster; not MS
1.6.2.4.4,IECoreAllergyIntolerance,AllergyIntolerance.asserter,N,Aligned,
1.6.2.4.5,IECoreAllergyIntolerance,AllergyIntolerance.language,N,Aligned,
1.6.3,IECoreBodyWeight,Observation,N,Aligned,Optional; not linked to the prescription (supportingInformation)
1.6.3.1,IECoreBodyWeight,Observation.valueQuantity.value,Y,Aligned,
1.6.3.2,IECoreBodyWeight,Observation.valueQuantity.code,Y,Aligned,UCUM kg; HIQA also lists stone/pounds
1.6.3.3,IECoreBodyWeight,Observation,N,Aligned,
1.6.3.3.1,IECoreBodyWeight,Observation.identifier,N,Aligned,
1.6.3.3.2,IECoreBodyWeight,Observation.performer,N,Partial,Mandatory within the cluster; not MS
1.6.3.3.3,IECoreBodyWeight,Observation.effective[x],Y,Aligned,
1.6.3.3.4,IECoreBodyWeight,Observation.performer,N,Aligned,source (patient-reported vs practitioner)
1.6.3.3.5,IECoreBodyWeight,Observation.language,N,Aligned,
1.6.4,IECoreBodyHeight,Observation,N,Aligned,Optional; not linked to the prescription
1.6.4.1,IECoreBodyHeight,Observation.valueQuantity.value,Y,Aligned,
1.6.4.2,IECoreBodyHeight,Observation.valueQuantity.code,Y,Aligned,
1.6.4.3,IECoreBodyHeight,Observation,N,Aligned,
1.6.4.3.1,IECoreBodyHeight,Observation.identifier,N,Aligned,
1.6.4.3.2,IECoreBodyHeight,Observation.performer,N,Partial,Mandatory within the cluster; not MS
1.6.4.3.3,IECoreBodyHeight,Observation.effective[x],Y,Aligned,
1.6.4.3.4,IECoreBodyHeight,Observation.performer,N,Aligned,
1.6.4.3.5,IECoreBodyHeight,Observation.language,N,Aligned,
1.6.5,IECoreMedicationRequestEPrescription,MedicationRequest.note,Y,Aligned,
2.1,IECorePractitioner,Practitioner.name.prefix,Y,Aligned,
2.2,IECorePractitioner,Practitioner.name.given,Y,Partial,HIQA Mandatory 1..1; IG 0..*
2.3,IECorePractitioner,Practitioner.name.family,Y,Aligned,
2.4,IECorePractitioner,Practitioner.name.suffix,Y,Aligned,
2.5,IECorePractitionerRole,PractitionerRole,Y,Partial,requester may reference Practitioner directly so a role is not guaranteed
2.5.1,IECorePractitionerRole,PractitionerRole.code,Y,Aligned,binding ie-core-provider-taxonomy; HIQA roles (RNP/RMP/CCS pharmacist) not verified in it
2.5.2,IECorePractitionerRole,PractitionerRole.specialty,Y,Aligned,
2.6,IECorePractitioner,Practitioner.identifier,Y,Partial,HIQA Mandatory 1..1; only an IMC slice 0..1; requester may be an Organization (H-07)
2.6.1,IECorePractitioner,Practitioner.identifier.system,Y,Partial,no PSI / NMBI / Dental Council slices
2.6.2,IECorePractitioner,Practitioner.identifier.value,Y,Partial,
2.7,IECoreOrganization,Organization.name,Y,Aligned,
2.8,IECoreOrganization,Organization.identifier,Y,Partial,no PSI Retail Pharmacy Business registration number slice (H-09)
2.9,IECoreOrganization,Organization.address,Y,Partial,HIQA Mandatory 1..1; IG 0..*
2.9.1,IECoreOrganization,Organization.address.postalCode,Y,Partial,HIQA Mandatory 1..1
2.9.2,IECoreOrganization,Organization.address.line,Y,Partial,HIQA Mandatory 1..1
2.9.3,IECoreOrganization,Organization.address.city,Y,Aligned,
2.9.4,IECoreOrganization,Organization.address.state,Y,Partial,HIQA Mandatory 1..1
2.9.5,IECoreOrganization,Organization.address.country,Y,Partial,HIQA Mandatory 1..1
2.10,IECorePractitionerRole,PractitionerRole.telecom,Y,Partial,HIQA Mandatory 1..*; IG 0..*
2.10.1,IECorePractitionerRole,PractitionerRole.telecom,Y,Partial,telephone Mandatory; no phone slice
2.10.2,IECorePractitionerRole,PractitionerRole.telecom,Y,Partial,Required; a legal requirement cross-border but not enforced (H-08)
2.10.3,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,
2.10.3.1,IECorePractitionerRole,PractitionerRole.telecom.system,Y,Aligned,
2.10.3.2,IECorePractitionerRole,PractitionerRole.telecom.value,Y,Aligned,
2.11,IECoreLocation,Location.identifier,Y,Partial,no GLN slice or GS1 check-digit rule (H-09)
2.12,IECoreOrganization,,N,Gap,would sit under Organization.identifier; no GMS Panel ID identifier system
2.13,IECoreMedicationRequestEPrescription,,N,Gap,no signature; a legal requirement for inbound cross-border prescriptions (H-08)
3.1,IECoreMedicationRequestEPrescription,MedicationRequest.groupIdentifier,Y,Partial,groupIdentifier is 0..1; identifier 1..* covers single-item prescriptions only
3.1.1,IECoreMedicationRequestEPrescription,MedicationRequest.identifier.type,N,Partial,type not MS or typed
3.1.2,IECoreMedicationRequestEPrescription,MedicationRequest.identifier.value,N,Partial,value not constrained
3.2,IECoreMedicationRequestEPrescription,MedicationRequest.authoredOn,Y,Aligned,
3.3,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Partial,HIQA prescription-level status (whole prescription) has no container in the IG; only item-level status exists
3.3.1,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Partial,item-level only
3.3.2,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason,Y,Partial,item-level only
3.3.3,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason.text,N,Partial,item-level only
3.4,IECoreMedicationRequestEPrescription,,N,Gap,presented form (PDF) not modelled; Optional
3.5,IECoreMedicationRequestEPrescription,MedicationRequest,Y,Aligned,
3.5.1,IECoreMedicationRequestEPrescription,MedicationRequest.identifier,Y,Aligned,
3.5.2,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Aligned,
3.5.2.1,IECoreMedicationRequestEPrescription,MedicationRequest.status,Y,Aligned,
3.5.2.2,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason,Y,Aligned,
3.5.2.3,IECoreMedicationRequestEPrescription,MedicationRequest.statusReason.text,N,Aligned,
3.5.3,IECoreMedicationRequestEPrescription,MedicationRequest.medication[x],Y,Aligned,
3.5.4,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode,Y,Aligned,
3.5.4.1,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode,Y,Aligned,
3.5.4.2,IECoreMedicationRequestEPrescription,MedicationRequest.reasonCode.text,N,Aligned,
3.5.5,IECoreMedicationRequestEPrescription,MedicationRequest.category,Y,Aligned,
3.5.6,IECoreMedicationRequestEPrescription,,N,Gap,EU MPD uses the R5 extension effectiveDosePeriod
3.5.7,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.quantity,Y,Aligned,
3.5.7.1,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.quantity,Y,Aligned,
3.5.7.2,IECoreMedicationRequestEPrescription,,N,Gap,words-and-figures quantity; a legal requirement for controlled drugs (H-05)
3.5.8,IECoreMedicationRequestEPrescription,MedicationRequest.dosageInstruction,Y,Aligned,
3.5.9,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.validityPeriod,Y,Aligned,
3.5.9.1,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.validityPeriod,Y,Aligned,no 14-day controlled-drug rule (H-05)
3.5.9.2,IECoreMedicationRequestEPrescription,,N,Gap,'Do Not Extend'; Optional
3.5.10,IECoreMedicationRequestEPrescription,MedicationRequest.substitution,Y,Aligned,
3.5.10.1,IECoreMedicationEPrescription,,N,Gap,HPRA interchangeable-list flag; expected auto-populated from NMPC
3.5.10.2,IECoreMedicationRequestEPrescription,MedicationRequest.substitution.allowed[x],Y,Aligned,'Do Not Substitute' = allowedBoolean false
3.5.10.3,IECoreMedicationRequestEPrescription,MedicationRequest.substitution.reason.text,Y,Aligned,
3.5.11,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,Y,Aligned,
3.5.12,IECoreMedicationRequestEPrescription,,N,Gap,number of instalments; a legal requirement for CD Schedules 2 / 3 / 4 part 1 (H-05)
3.5.13,IECoreMedicationRequestEPrescription,MedicationRequest.dispenseRequest.dispenseInterval,Y,Aligned,
3.5.14,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse,Y,Partial,custom extension; EU MPD uses IHE ihe-ext-offLabel (M-01)
3.5.14.1,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse.extension:isOffLabelUse,N,Aligned,
3.5.14.2,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse.extension:reason,N,Aligned,
3.5.14.2.1,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse.extension:reason.value[x],N,Aligned,
3.5.14.2.2,IECoreMedicationRequestEPrescription,MedicationRequest.extension:offLabelUse.extension:reason.value[x],N,Aligned,
3.6.1,IECoreMedicationRequestEPrescription,MedicationRequest.note,Y,Aligned,
4.1,IECoreMedicationEPrescription,Medication.code,Y,Aligned,NMPC code
4.2,IECoreMedicationEPrescription,,N,Gap,classification cluster not modelled
4.2.1,IECoreMedicationEPrescription,Medication.code,Y,Partial,ATC may be carried as an extra coding in code; no explicit element
4.2.2,IECoreMedicationEPrescription,,N,Gap,supply legal status
4.2.3,IECoreMedicationEPrescription,,N,Gap,MDA schedule (H-05)
4.2.4,IECoreMedicationEPrescription,,N,Gap,
4.3,IECoreMedicationEPrescription,Medication.code,Y,Aligned,
4.3.1,IECoreMedicationEPrescription,Medication.code,Y,Aligned,
4.3.2,IECoreMedicationEPrescription,Medication.code.text,N,Aligned,
4.4,IECoreMedicationEPrescription,Medication.manufacturer,N,Aligned,
4.4.1,IECoreMedicationEPrescription,Medication.manufacturer.display,N,Aligned,
4.4.2,IECoreMedicationEPrescription,Medication.manufacturer.identifier,N,Aligned,
4.5,IECoreMedicationEPrescription,Medication.form,Y,Partial,no EDQM binding
