hiqa_id,profile,path,ms,status,notes
1.1.1,IECorePatient,Patient.name.prefix,Y,Aligned,
1.1.2,IECorePatient,Patient.name.given,Y,Partial,HIQA Mandatory 1..1; IG 0..*
1.1.3,IECorePatient,Patient.name.given,Y,Aligned,second and later given names
1.1.4,IECorePatient,Patient.name.family,Y,Partial,HIQA Mandatory 1..1; IG 0..1
1.1.5,IECorePatient,Patient.name.suffix,Y,Aligned,
1.1.6,IECorePatient,Patient.name,Y,Aligned,name.use = old
1.1.7,IECorePatient,Patient.name,Y,Aligned,name.use = usual
1.2.1,IECorePatient,Patient.address.postalCode,Y,Aligned,
1.2.2,IECorePatient,Patient.address.line,Y,Partial,HIQA Mandatory 1..1
1.2.3,IECorePatient,Patient.address.city,Y,Aligned,
1.2.4,IECorePatient,Patient.address.state,Y,Partial,HIQA Mandatory 1..1
1.2.5,IECorePatient,Patient.address.country,Y,Aligned,
1.2.6,IECorePatient,Patient.address.use,N,Partial,HIQA Mandatory; no homelessness value; not MS
1.2.7,IECorePatient,Patient.address.type,N,Aligned,
1.3.1,IECorePatient,Patient.identifier:IHI,Y,Partial,18-digit-only invariant (H-02)
1.3.2,IECorePatient,,N,Gap,would sit under Patient.identifier; no PPSN slice (OI-008)
1.3.3,IECorePatient,Patient.identifier,Y,Aligned,
1.3.3.1,IECorePatient,Patient.identifier.type,N,Partial,not MS
1.3.3.2,IECorePatient,Patient.identifier.value,N,Partial,not MS
1.3.3.3,IECorePatient,Patient.identifier.period,N,Partial,not MS
1.3.3.4,IECorePatient,Patient.identifier.assigner,N,Partial,not MS
1.3.4,IECoreCoverage,Coverage,Y,Partial,Coverage profile exists but is not referenced from the Patient Summary
1.3.4.1,IECoreCoverage,Coverage.type,Y,Aligned,
1.3.4.2,IECoreCoverage,Coverage.subscriberId,Y,Aligned,
1.3.4.3,IECoreCoverage,Coverage.payor,Y,Aligned,
1.4.1,IECorePatient,Patient.birthDate,Y,Aligned,birthDate 1..1 inherited from EU Base patient-eu-core. HIQA: unknown DOB recorded as 1900-01-01
1.4.2,IECorePatient,,N,Gap,estimated age; Optional
1.4.2.1,IECorePatient,,N,Gap,
1.4.2.2,IECorePatient,,N,Gap,
1.4.3,IECorePatient,,N,Gap,would sit under Patient.extension; place of birth (county or city) not modelled; patient-birthPlace available
1.4.4,IECorePatient,Patient.gender,Y,Partial,"administrative gender, not sex assigned at birth (H-01)"
1.4.5,IECorePatient,Patient.extension:genderIdentity,Y,Partial,cluster modelled as one extension; no 'other gender' code verified
1.4.5.1,IECorePatient,Patient.extension:genderIdentity.value[x],Y,Partial,binding to ie-core-gender-identity not verified against a HIQA value set (none published)
1.4.5.2,IECorePatient,Patient.extension:genderIdentity.value[x].text,N,Aligned,
1.4.6,IECorePatient,Patient.extension:mothersMaidenName,Y,Partial,HIQA 0..* 'former surnames'; IG 0..1 maiden name
1.4.7,IECorePatient,,N,Gap,would sit under Patient.extension; nationality not modelled; patient-nationality available
1.4.8,IECorePatient,,N,Gap,would sit under Patient.extension; country of affiliation not modelled
1.4.9,IECorePatient,Patient.communication.language,Y,Aligned,
1.4.10,IECorePatient,Patient.extension:ethnicity,Y,Partial,HIQA 0..* coded; IG 0..1 code with a required binding to an unverified CSO list (M-04)
1.4.11,IECorePatient,Patient.deceased[x],Y,Aligned,deceasedDateTime
1.4.12,IECorePatient,,N,Gap,cause of death not modelled
1.5.1,IECorePatient,Patient.telecom,Y,Aligned,
1.5.2,IECorePatient,Patient.telecom,Y,Aligned,
1.5.3,IECorePatient,Patient.telecom,Y,Aligned,
1.5.3.1,IECorePatient,Patient.telecom.system,Y,Aligned,
1.5.3.2,IECorePatient,Patient.telecom.value,Y,Aligned,
1.5.3.3,IECorePatient,Patient.telecom.use,Y,Aligned,
1.5.4,IECorePatient,Patient.telecom.rank,N,Partial,Required; not MS; rank expresses preference order only
2.1,IECorePractitioner,Practitioner.name.prefix,Y,Aligned,
2.2,IECorePractitioner,Practitioner.name.given,Y,Partial,HIQA Mandatory 1..1
2.3,IECorePractitioner,Practitioner.name.family,Y,Aligned,
2.4,IECorePractitioner,Practitioner.name.suffix,Y,Aligned,
2.5,IECorePractitionerRole,PractitionerRole,Y,Partial,HIQA Mandatory 1..*; the PS has no mandatory GP / practitioner participant
2.5.1,IECorePractitionerRole,PractitionerRole.code,Y,Aligned,
2.5.2,IECorePractitionerRole,PractitionerRole.specialty,Y,Aligned,
2.6,IECorePractitioner,Practitioner.identifier,Y,Partial,HIQA Mandatory; IMC slice only (H-07)
2.6.1,IECorePractitioner,Practitioner.identifier.system,Y,Partial,
2.6.2,IECorePractitioner,Practitioner.identifier.value,Y,Partial,
2.7,IECoreOrganization,Organization.name,Y,Aligned,
2.8,IECoreOrganization,Organization.identifier,Y,Partial,no PSI Retail Pharmacy Business registration number slice (H-09)
2.9,IECoreOrganization,Organization.address,Y,Partial,HIQA Mandatory
2.9.1,IECoreOrganization,Organization.address.postalCode,Y,Partial,HIQA Mandatory
2.9.2,IECoreOrganization,Organization.address.line,Y,Partial,HIQA Mandatory
2.9.3,IECoreOrganization,Organization.address.city,Y,Aligned,
2.9.4,IECoreOrganization,Organization.address.state,Y,Partial,HIQA Mandatory
2.9.5,IECoreOrganization,Organization.address.country,Y,Partial,HIQA Mandatory
2.10,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,
2.10.1,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,
2.10.2,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,
2.10.3,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,
2.10.3.1,IECorePractitionerRole,PractitionerRole.telecom.system,Y,Aligned,
2.10.3.2,IECorePractitionerRole,PractitionerRole.telecom.value,Y,Aligned,
2.11,IECoreLocation,Location.identifier,Y,Partial,no GLN slice
2.12,IECoreOrganization,,N,Gap,would sit under Organization.identifier; no GMS Panel ID system
3.1,IECorePatient,Patient.contact.name.given,N,Partial,nominated contact person: Patient.contact is not MS
3.2,IECorePatient,Patient.contact.name.family,N,Partial,
3.3,IECorePatient,Patient.contact.relationship,N,Partial,
3.4,IECorePatient,Patient.contact.relationship,N,Partial,
3.5,IECorePatient,Patient.contact.telecom,N,Partial,
3.5.1,IECorePatient,Patient.contact.telecom,N,Partial,
3.5.2,IECorePatient,Patient.contact.telecom,N,Partial,
3.5.3,IECorePatient,Patient.contact.telecom,N,Partial,
3.6,IECorePatient,Patient.contact.address,N,Aligned,
