system,code,display_in_fsh,found_on_tx,tx_display,inactive,files
http://hl7.org/fhir/narrative-status,additional,Additional,yes,Additional,False,ValueSets.fsh
http://hl7.org/fhir/narrative-status,empty,Empty,yes,Empty,False,ValueSets.fsh
http://hl7.org/fhir/narrative-status,extensions,Extensions,yes,Extensions,False,ValueSets.fsh
http://hl7.org/fhir/narrative-status,generated,Generated,yes,Generated,False,ValueSets.fsh
http://hl7.org/fhir/observation-status,entered-in-error,Entered in Error,yes,Entered in Error,False,ValueSets.fsh
http://hl7.org/fhir/observation-status,final,Final,yes,Final,False,ValueSets.fsh
http://hl7.org/fhir/sid/cvx,208,"SARS-COV-2 (COVID-19) vaccine, mRNA, spike protein, LNP, preservative free, 30 mcg/0.3mL dose",yes,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose",False,Examples.fsh
http://loinc.org,10160-0,History of Medication use Narrative,yes,History of Medication use Narrative,False,IECoreHospitalDischarge.fsh
http://loinc.org,104605-1,Alerts,yes,Alert,False,IECoreHospitalDischarge.fsh
http://loinc.org,11329-0,History general Narrative - Reported,yes,History general Narrative - Reported,False,IECoreHospitalDischarge.fsh
http://loinc.org,11341-5,History of occupation,yes,History of Occupation,False,IECoreObservation.fsh
http://loinc.org,11367-0,History of Tobacco use,yes,History of Tobacco use,False,ValueSets.fsh
http://loinc.org,11488-4,Consult note,yes,Consult note,False,ValueSets.fsh
http://loinc.org,11502-2,Laboratory report,yes,Laboratory report,False,ValueSets.fsh
http://loinc.org,11506-3,Progress note,yes,Progress note,False,ValueSets.fsh
http://loinc.org,11535-2,Hospital discharge diagnosis note,yes,Hospital discharge diagnosis note,False,IECoreHospitalDischarge.fsh
http://loinc.org,18745-0,Cardiac catheterization study,yes,Cardiac catheterization study,False,ValueSets.fsh
http://loinc.org,18748-4,Diagnostic imaging study,yes,Diagnostic imaging study,False,ValueSets.fsh
http://loinc.org,18761-7,Transfer summary note,yes,Transfer summary note,False,ValueSets.fsh
http://loinc.org,18776-5,Plan of care note,yes,Plan of care note,False,IECoreHospitalDischarge.fsh
http://loinc.org,18842-5,Discharge summary,yes,Discharge summary,False,IECoreHospitalDischarge.fsh;ValueSets.fsh
http://loinc.org,28570-0,Procedure note,yes,Procedure note,False,ValueSets.fsh
http://loinc.org,29463-7,Body weight,yes,Body weight,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,30954-2,Relevant diagnostic tests/laboratory data note,yes,Relevant diagnostic tests/laboratory data note,False,IECoreHospitalDischarge.fsh
http://loinc.org,3150-0,Inhaled oxygen concentration,yes,Inhaled oxygen concentration,False,IECoreVitalSigns.fsh
http://loinc.org,3151-8,Inhaled oxygen flow rate,yes,Inhaled oxygen flow rate,False,IECoreVitalSigns.fsh
http://loinc.org,34117-2,History and physical note,yes,History and physical note,False,ValueSets.fsh
http://loinc.org,34133-9,Summary of episode note,yes,Summary of episode note,False,ValueSets.fsh
http://loinc.org,34746-8,Nurse Note,yes,Nurse Note,False,ValueSets.fsh
http://loinc.org,39156-5,Body mass index (BMI) [Ratio],yes,Body mass index (BMI) [Ratio],False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,42348-3,Advance healthcare directives,yes,Advance healthcare directives,False,IECoreDocumentReference.fsh;ValueSets.fsh
http://loinc.org,44249-1,PHQ-9 quick depression assessment panel,yes,PHQ-9 quick depression assessment panel [Reported.PHQ],False,ValueSets.fsh
http://loinc.org,45473-6,Advance healthcare directive completed,yes,Advance healthcare directive completed,False,IECoreObservation.fsh
http://loinc.org,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,yes,Hemoglobin A1c/Hemoglobin.total in Blood,False,Examples.fsh
http://loinc.org,46241-6,Hospital admission diagnosis Narrative - Reported,yes,Hospital admission diagnosis Narrative - Reported,False,IECoreHospitalDischarge.fsh
http://loinc.org,47039-3,Hospital Admission history and physical note,yes,Hospital Admission history and physical note,False,ValueSets.fsh
http://loinc.org,47519-4,History of Procedures Document,yes,History of Procedures Document,False,IECoreHospitalDischarge.fsh
http://loinc.org,48765-2,Allergies and adverse reactions Document,yes,Allergies and adverse reactions Document,False,IECoreBundleEPrescription.fsh
http://loinc.org,57016-8,Privacy policy acknowledgment Document,yes,Privacy policy acknowledgment Document,False,ValueSets.fsh
http://loinc.org,57017-6,Privacy policy Organization Document,yes,Privacy policy Organization Document,False,ValueSets.fsh
http://loinc.org,57133-1,Referral note,yes,Referral note,False,ValueSets.fsh
http://loinc.org,57852-6,Problem list Narrative - Reported,yes,Problem list Narrative - Reported,False,IECoreHospitalDischarge.fsh
http://loinc.org,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,yes,Oxygen saturation in Arterial blood by Pulse oximetry,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,59576-9,Body mass index (BMI) [Percentile] Per age and sex,yes,Body mass index (BMI) [Percentile] Per age and sex,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,62199-5,PROMIS short form - physical function 10a - version 1.0,yes,PROMIS short form - physical function 10a - version 1.0,False,ValueSets.fsh
http://loinc.org,64290-0,Health insurance card,yes,Health insurance card,False,ValueSets.fsh
http://loinc.org,69725-0,"Feeling nervous, anxious or on edge in last 2 weeks",yes,"Feeling nervous, anxious or on edge in last 2 weeks",False,ValueSets.fsh
http://loinc.org,71354-5,Edinburgh Postnatal Depression Scale [EPDS],yes,Edinburgh Postnatal Depression Scale [EPDS],False,ValueSets.fsh
http://loinc.org,72109-2,Alcohol Use Disorder Identification Test - Consumption,yes,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],False,ValueSets.fsh
http://loinc.org,72166-2,Tobacco smoking status,yes,Tobacco smoking status,False,IECoreObservation.fsh;ValueSets.fsh
http://loinc.org,73831-0,Adolescent depression screening assessment,yes,Adolescent depression screening assessment,False,ValueSets.fsh
http://loinc.org,75311-1,Discharge medications,yes,Discharge medications note,False,IECoreHospitalDischarge.fsh
http://loinc.org,75320-2,Advance directive,yes,Advance directive,False,ValueSets.fsh
http://loinc.org,75773-2,"Goals, preferences, and priorities for medical treatment Narrative - Reported",yes,"Goals, preferences, and priorities for medical treatment Narrative - Reported",False,IECoreObservation.fsh
http://loinc.org,76504-0,Total score [HARK],yes,Total score [HARK],False,ValueSets.fsh
http://loinc.org,76689-9,Sex assigned at birth,yes,Sex assigned at birth,False,ExampleRuleSets.fsh;IECorePatient.fsh;IECorePatientSummaryPatient.fsh
http://loinc.org,76690-7,Sexual orientation,yes,Sexual orientation,False,IECoreObservation.fsh
http://loinc.org,77599-9,Additional documentation,yes,Additional documentation,False,ValueSets.fsh
http://loinc.org,77606-2,Weight-for-length Per age and sex,yes,Weight-for-length Per age and sex,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,81334-5,Patient Personal advance care plan,yes,Patient Personal advance care plan,False,ValueSets.fsh
http://loinc.org,81335-2,Patient Healthcare agent,yes,Patient Healthcare agent,False,ValueSets.fsh
http://loinc.org,81336-0,"Patient Goals, preferences, and priorities under certain health conditions",yes,"Patient Goals, preferences, and priorities under certain health conditions",False,ValueSets.fsh
http://loinc.org,81340-2,Goals AndOr preferences in order of priority - Reported,yes,Goals AndOr preferences in order of priority - Reported,False,ValueSets.fsh
http://loinc.org,82810-3,Pregnancy status,yes,Pregnancy status,False,IECoreObservation.fsh
http://loinc.org,8287-5,Head Occipital-frontal circumference by Tape measure,yes,Head Occipital-frontal circumference by Tape measure,False,ValueSets.fsh
http://loinc.org,8289-1,Head Occipital-frontal circumference Percentile,yes,Head Occipital-frontal circumference Percentile,False,IECoreVitalSigns.fsh
http://loinc.org,8302-2,Body height,yes,Body height,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,8310-5,Body temperature,yes,Body temperature,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,8462-4,Diastolic blood pressure,yes,Diastolic blood pressure,False,Examples.fsh;IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,8480-6,Systolic blood pressure,yes,Systolic blood pressure,False,Examples.fsh;IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,85354-9,Blood pressure panel with all children optional,yes,Blood pressure panel with all children optional,False,Examples.fsh;IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,8648-8,Hospital course,yes,Hospital course note,False,IECoreHospitalDischarge.fsh
http://loinc.org,86533-7,Patient Living will,yes,Patient Living will,False,ValueSets.fsh
http://loinc.org,86645-9,Pregnancy intention in the next year - Reported,yes,Pregnancy intention in the next year - Reported,False,IECoreObservation.fsh
http://loinc.org,8867-4,Heart rate,yes,Heart rate,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,89206-7,Patient Health Questionnaire-9: Modified for Teens [Reported.PHQ.Teen],yes,Patient Health Questionnaire-9: Modified for Teens [Reported.PHQ.Teen],False,ValueSets.fsh
http://loinc.org,92664-2,Power of attorney,yes,Power of attorney and Living will,False,ValueSets.fsh
http://loinc.org,9279-1,Respiratory rate,yes,Respiratory rate,False,IECoreVitalSigns.fsh;ValueSets.fsh
http://loinc.org,95541-9,Care experience preference,yes,Care experience preference,False,IECoreObservation.fsh
http://loinc.org,96607-7,Blood pressure panel mean systolic and mean diastolic,yes,Blood pressure panel mean systolic and mean diastolic,False,IECoreObservation.fsh;ValueSets.fsh
http://loinc.org,96608-5,Systolic blood pressure mean,yes,Systolic blood pressure mean,False,IECoreObservation.fsh
http://loinc.org,96609-3,Diastolic blood pressure mean,yes,Diastolic blood pressure mean,False,IECoreObservation.fsh
http://loinc.org,96777-8,Accountable health communities (AHC) health-related social needs screening (HRSN) tool,yes,Accountable health communities (AHC) health-related social needs screening (HRSN) tool,False,ValueSets.fsh
http://loinc.org,97023-6,Accountable health communities (AHC) health-related social needs (HRSN) supplemental questions,yes,Accountable health communities (AHC) health-related social needs (HRSN) supplemental questions,False,ValueSets.fsh
http://loinc.org,9843-4,Head Occipital-frontal circumference,yes,Head Occipital-frontal circumference,False,IECoreVitalSigns.fsh
http://loinc.org,LP29684-5,Radiology,yes,RAD,False,ValueSets.fsh
http://loinc.org,LP29708-2,Cardiology,yes,Card,False,ValueSets.fsh
http://loinc.org,LP7839-6,Pathology,yes,PATH,False,ValueSets.fsh
http://snomed.info/sct,105542008,Current non-drinker of alcohol,yes,Non - drinker,False,ValueSets.fsh
http://snomed.info/sct,106289002,Dentist,yes,Dentist,False,ValueSets.fsh
http://snomed.info/sct,108252007,Laboratory procedure,yes,Laboratory procedure,False,ValueSets.fsh
http://snomed.info/sct,11429006,Consultation,yes,Consultation,False,Examples.fsh;ValueSets.fsh
http://snomed.info/sct,116154003,Patient,yes,Patient,False,ValueSets.fsh
http://snomed.info/sct,125677006,Relative,yes,Relative,False,ValueSets.fsh
http://snomed.info/sct,126485001,Urticaria,yes,Urticaria,False,Examples.fsh
