standard,hiqa_id,element,applies_to,conformance,cardinality,hiqa_datatype,profile,path,ms,status,notes,lm_path
EP,1.1.1,Name title,PD,Optional,0..*,Coded value,IECorePatientEPrescription,Patient.name.prefix,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.nameDetails.nameTitle
EP,1.1.2,Forename,PD,Mandatory,1..1,Free text,IECorePatientEPrescription,Patient.name.given,Y,Aligned,given 1..* in the ePrescription patient,HIQAEPrescriptionLM.patientDetails.nameDetails.forename
EP,1.1.3,Surname,PD,Mandatory,1..1,Free text,IECorePatientEPrescription,Patient.name.family,Y,Aligned,family 1..1 in the ePrescription patient,HIQAEPrescriptionLM.patientDetails.nameDetails.surname
EP,1.1.4,Name suffix,PD,Optional,0..*,Coded value,IECorePatientEPrescription,Patient.name.suffix,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.nameDetails.nameSuffix
EP,1.2.1,Postcode,PD,Required,0..1,Alpha-numeric,IECorePatientEPrescription,Patient.address.postalCode,Y,Aligned,Eircode format XXX XXXX (guidance only),HIQAEPrescriptionLM.patientDetails.address.postcode
EP,1.2.2,Address line(s),PD,Mandatory,1..1,Free text,IECorePatientEPrescription,Patient.address.line,Y,Aligned,address 1..* and line 1..*,HIQAEPrescriptionLM.patientDetails.address.addressLineS
EP,1.2.3,Suburb/ Town/ Townland/ Locality,PD,Required,0..1,Free text,IECorePatientEPrescription,Patient.address.city,Y,Aligned,Dublin postal districts go here per HIQA,HIQAEPrescriptionLM.patientDetails.address.suburbTownTownlandLocality
EP,1.2.4,District/ County,PD,Mandatory,1..1,Coded Value,IECorePatientEPrescription,Patient.address.state,Y,Aligned,state 1..1; IE county binding (extensible),HIQAEPrescriptionLM.patientDetails.address.districtCounty
EP,1.2.5,Country,PD,Required,0..1,Coded value,IECorePatientEPrescription,Patient.address.country,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.address.country
EP,1.2.6,Address type,PD,Mandatory,1..1,Coded value,IECorePatientEPrescription,Patient.address.use,Y,Partial,use 1..1 MS; no HL7 code for homelessness (Requires Clarification),HIQAEPrescriptionLM.patientDetails.address.addressType
EP,1.2.7,Address use,PD,Optional,0..1,Coded value,IECorePatientEPrescription,Patient.address.type,N,Aligned,postal|physical|both,HIQAEPrescriptionLM.patientDetails.address.addressUse
EP,1.3.1,Individual Health Identifier (IHI),PD,Required,0..1,Numeric,IECorePatientEPrescription,Patient.identifier:IHI,Y,Aligned,ie-pat-1 accepts 18 or 10 digits; system URI placeholder (OI-003),HIQAEPrescriptionLM.patientDetails.identifiers.individualHealthIdentifierIhi
EP,1.3.2,Personal Public Service Number,PD,Required,0..1,Alpha-numeric,IECorePatientEPrescription,Patient.identifier:PPSN,N,Partial,deliberately NOT MustSupport: legal basis Requires Clarification (OI-008); warning format rule,HIQAEPrescriptionLM.patientDetails.identifiers.personalPublicServiceNumber
EP,1.3.3,Other identifiers used in health and social care details (cluster),PD,Required,0..*,,IECorePatientEPrescription,Patient.identifier,Y,Aligned,open slicing; PCRS scheme numbers typed with the IE Core PCRS scheme placeholder,HIQAEPrescriptionLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails
EP,1.3.3.1,Other identifier used in health and social care – Type,PD,Required,0..1,Coded value,IECorePatientEPrescription,Patient.identifier.type,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifierUsedInHealthAndSocialCareType
EP,1.3.3.2,Other identifier used in health and social care-Value,PD,Required,0..1,Alpha-numeric,IECorePatientEPrescription,Patient.identifier.value,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifierUsedInHealthAndSocialCareValue
EP,1.3.3.3,Other identifier used in health and social care - Time period,PD,Required,0..1,Period,IECorePatientEPrescription,Patient.identifier.period,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifierUsedInHealthAndSocialCareTimePeri
EP,1.3.3.4,Organisation who issued the other identifier used in health and social care,PD,Required,0..1,Free text,IECorePatientEPrescription,Patient.identifier.assigner,Y,Aligned,"assigner.display, e.g. HSE",HIQAEPrescriptionLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.organisationWhoIssuedTheOtherIdentifierUsedInHea
EP,1.4.1,Date of birth,PD,Mandatory,1..1,Date,IECorePatientEPrescription,Patient.birthDate,Y,Aligned,birthDate 1..1; a legal requirement cross-border,HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.dateOfBirth
EP,1.4.2,Age (cluster),P,Required,0..1,,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing,Y,Aligned,"required when under 12 at authoredOn, or when the date of birth is not a full date (invariants ie-rx-age-1, ie-bnd-rx-3; resolved within the Bundle)",HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.age
EP,1.4.2.1,Age if less than 12 years – value,P,Mandatory,1..1,Numeric,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing.value[x],N,Aligned,Mandatory within the age cluster: valueAge.value 1..1,HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.age.ageIfLessThan12YearsValue
EP,1.4.2.2,Age if less than 12 years - type,P,Mandatory,1..1,Coded value,IECoreMedicationRequestEPrescription,MedicationRequest.extension:ageAtPrescribing.value[x],N,Aligned,Mandatory within the age cluster: valueAge.code 1..1 (UCUM a|mo|d),HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.age.ageIfLessThan12YearsType
EP,1.4.3,Sex,PD,Mandatory,1..1,Coded value,IECorePatientEPrescription,Patient.extension:sexAssignedAtBirth,Y,Aligned,individual-recordedSexOrGender with type LOINC 76689-9 (1..1 MS),HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.sex
EP,1.4.4,Gender (cluster),PD,Required,0..1,,IECorePatientEPrescription,Patient.extension:gender-identity,Y,Aligned,"individual-genderIdentity (EU Base slice), 0..1 MS",HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.gender
EP,1.4.4.1,Gender,,Required,0..1,Coded value,IECorePatientEPrescription,Patient.extension:gender-identity,Y,Partial,binding to ie-core-gender-identity not yet verified; no 'other gender' code (Phase 7),HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.gender.gender
EP,1.4.4.2,Other gender identity,PD,Optional,0..1,Free text,IECorePatientEPrescription,Patient.extension:gender-identity,N,Aligned,valueCodeableConcept.text,HIQAEPrescriptionLM.patientDetails.additionalDemographicDetails.gender.otherGenderIdentity
EP,1.5.1,Mobile phone number,,Required,0..*,Alpha-numeric,IECorePatientEPrescription,Patient.telecom,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.communicationDetails.mobilePhoneNumber
EP,1.5.2,Email address,PD,Required,0..*,Alpha-numeric,IECorePatientEPrescription,Patient.telecom,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.communicationDetails.emailAddress
EP,1.5.3,Other Communication details (cluster),PD,Optional,0..*,,IECorePatientEPrescription,Patient.telecom,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.communicationDetails.otherCommunicationDetails
EP,1.5.3.1,Communication details – Type,PD,Optional,0..*,Coded value,IECorePatientEPrescription,Patient.telecom.system,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.communicationDetails.otherCommunicationDetails.communicationDetailsType
EP,1.5.3.2,Communication Details – Value,PD,Optional,0..*,Alpha-numeric,IECorePatientEPrescription,Patient.telecom.value,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.communicationDetails.otherCommunicationDetails.communicationDetailsValue
EP,1.6.1,Reason for not recording allergies and intolerances,P,Required,0..1,Coded value,IECoreListAllergiesAtPrescribing,List.emptyReason,Y,Aligned,allergy statement 1..1 per ePrescription Bundle; entry xor emptyReason (ie-list-allergy-1); list-empty-reason (nilknown = no known allergies); must be the Bundle patient's own (ie-bnd-rx-5),HIQAEPrescriptionLM.patientDetails.clinicalInformation.reasonForNotRecordingAllergiesAndIntolerances
EP,1.6.2,Allergies and intolerances (record entry),P,Required,0..*,,IECoreListAllergiesAtPrescribing,List.entry,Y,Aligned,"entries → IECoreAllergyIntolerance, included in the Bundle (ie-bnd-rx-6); referenced from each item as a List coded LOINC 48765-2 (ie-bnd-rx-2)",HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances
EP,1.6.2.1,Allergies or intolerances,P,Required,0..*,Coded value,IECoreAllergyIntolerance,AllergyIntolerance.code,Y,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.allergiesOrIntolerances
EP,1.6.2.2,Causative agent or allergen,P,Required,0..1,Coded value,IECoreAllergyIntolerance,AllergyIntolerance.reaction.substance,N,Partial,Required but not MS,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.causativeAgentOrAllergen
EP,1.6.2.3,Additional information,P,Optional,0..1,Free text,IECoreAllergyIntolerance,AllergyIntolerance.note,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.additionalInformation
EP,1.6.2.4,Record entry provenance data for allergies and intolerances (cluster),P,Required,0..*,,IECoreListAllergiesAtPrescribing,List.source,Y,Aligned,statement author/date on the List; entry-level provenance on AllergyIntolerance,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera
EP,1.6.2.4.1,Record entry identifier,P,Optional,0..*,Alpha-numeric,IECoreAllergyIntolerance,AllergyIntolerance.identifier,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera.recordEntryIdentifier
EP,1.6.2.4.2,Record entry author,P,Mandatory,0..*,,IECoreAllergyIntolerance,AllergyIntolerance.recorder,N,Partial,Mandatory within the cluster; not MS,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera.recordEntryAuthor
EP,1.6.2.4.3,Record entry date,P,Mandatory,0..1,Datetime,IECoreAllergyIntolerance,AllergyIntolerance.recordedDate,N,Partial,Mandatory within the cluster; not MS,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera.recordEntryDate
EP,1.6.2.4.4,Record entry source,P,Optional,0..1,Coded value,IECoreAllergyIntolerance,AllergyIntolerance.asserter,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera.recordEntrySource
EP,1.6.2.4.5,Record entry language,P,Optional,0..1,Coded value,IECoreAllergyIntolerance,AllergyIntolerance.language,N,Aligned,,HIQAEPrescriptionLM.patientDetails.clinicalInformation.allergiesAndIntolerances.recordEntryProvenanceDataForAllergiesAndIntolera.recordEntryLanguage
EP,1.6.3,Weight (record entry),PD,Optional,0..1,,IECoreBodyWeight,Observation,N,Aligned,Optional; not linked to the prescription (supportingInformation),HIQAEPrescriptionLM.patientDetails.clinicalInformation.weight
