id,element,pd,auto,conformance,cardinality,values,page
1.1.1,Name title,PD,,Optional,0..*,Coded value,25
1.1.2,Forename,PD,,Mandatory,1..1,Free text,25
1.1.3,Surname,PD,,Mandatory,1..1,Free text,25
1.1.4,Name suffix,PD,,Optional,0..*,Coded value,26
1.2.1,Postcode,PD,,Required,0..1,Alpha-numeric,26
1.2.2,Address line(s),PD,,Mandatory,1..1,Free text,26
1.2.3,Suburb/ Town/ Townland/ Locality,PD,,Required,0..1,Free text,27
1.2.4,District/ County,PD,,Mandatory,1..1,Coded Value,27
1.2.5,Country,PD,,Required,0..1,Coded value,27
1.2.6,Address type,PD,,Mandatory,1..1,Coded value,27
1.2.7,Address use,PD,,Optional,0..1,Coded value,27
1.3.1,Individual Health Identifier (IHI),PD,,Required,0..1,Numeric,28
1.3.2,Personal Public Service Number,PD,,Required,0..1,Alpha-numeric,28
1.3.3,Other identifiers used in health and social care details (cluster),PD,,Required,0..*,,28
1.3.3.1,Other identifier used in health and social care – Type,PD,,Required,0..1,Coded value,29
1.3.3.2,Other identifier used in health and social care-Value,PD,,Required,0..1,Alpha-numeric,29
1.3.3.3,Other identifier used in health and social care - Time period,PD,,Required,0..1,Period,29
1.3.3.4,Organisation who issued the other identifier used in health and social care,PD,,Required,0..1,Free text,29
1.4.1,Date of birth,PD,,Mandatory,1..1,Date,30
1.4.2,Age (cluster),P,#,Required,0..1,,30
1.4.2.1,Age if less than 12 years – value,P,,Mandatory,1..1,Numeric,31
1.4.2.2,Age if less than 12 years - type,P,,Mandatory,1..1,Coded value,31
1.4.3,Sex,PD,,Mandatory,1..1,Coded value,31
1.4.4,Gender (cluster),PD,,Required,0..1,,31
1.4.4.1,Gender,,,Required,0..1,Coded value,31
1.4.4.2,Other gender identity,PD,,Optional,0..1,Free text,32
1.5.1,Mobile phone number,,,Required,0..*,Alpha-numeric,32
1.5.2,Email address,PD,,Required,0..*,Alpha-numeric,33
1.5.3,Other Communication details (cluster),PD,,Optional,0..*,,33
1.5.3.1,Communication details – Type,PD,,Optional,0..*,Coded value,33
1.5.3.2,Communication Details – Value,PD,,Optional,0..*,Alpha-numeric,33
1.6.1,Reason for not recording allergies and intolerances,P,,Required,0..1,Coded value,35
1.6.2,Allergies and intolerances (record entry),P,,Required,0..*,,35
1.6.2.1,Allergies or intolerances,P,,Required,0..*,Coded value,35
1.6.2.2,Causative agent or allergen,P,,Required,0..1,Coded value,35
1.6.2.3,Additional information,P,,Optional,0..1,Free text,35
1.6.2.4,Record entry provenance data for allergies and intolerances (cluster),P,#,Required,0..*,,36
1.6.2.4.1,Record entry identifier,P,#,Optional,0..*,Alpha-numeric,36
1.6.2.4.2,Record entry author,P,#,Mandatory,0..*,,36
1.6.2.4.3,Record entry date,P,#,Mandatory,0..1,Datetime,36
1.6.2.4.4,Record entry source,P,#,Optional,0..1,Coded value,37
1.6.2.4.5,Record entry language,P,#,Optional,0..1,Coded value,37
1.6.3,Weight (record entry),PD,,Optional,0..1,,37
1.6.3.1,Weight value,PD,,Optional,0..1,Decimal,38
1.6.3.2,Weight type,PD,,Optional,0..1,Coded value,38
1.6.3.3,Record entry provenance data for weight (cluster),PD,#,Optional,0..*,,38
1.6.3.3.1,Record entry identifier,PD,#,Optional,0..*,Alpha-numeric,38
1.6.3.3.2,Record entry author,PD,#,Mandatory,0..*,,38
1.6.3.3.3,Record entry date,PD,#,Mandatory,0..1,Datetime,38
1.6.3.3.4,Record entry source,PD,#,Optional,0..1,Coded value,39
1.6.3.3.5,Record entry language,PD,#,Optional,0..1,Coded value,39
1.6.4,Height (record entry),PD,,Optional,0..1,,39
1.6.4.1,Height value,PD,,Optional,0..1,Decimal,40
1.6.4.2,Height type,PD,,Optional,0..1,Coded value,40
1.6.4.3,Record entry provenance data for height (cluster),PD,#,Optional,0..*,,40
1.6.4.3.1,Record entry identifier,PD,#,Optional,0..*,Alpha-numeric,40
1.6.4.3.2,Record entry author,PD,#,Mandatory,0..*,,40
1.6.4.3.3,Record entry date,PD,#,Mandatory,0..1,Datetime,41
1.6.4.3.4,Record entry source,PD,#,Optional,0..1,Coded value,41
1.6.4.3.5,Record entry language,PD,#,Optional,0..1,Coded value,41
1.6.5,Additional notes,PD,,Optional,0..1,Free text,41
2.1,Name title,PD,,Optional,0..*,Coded value,45
2.2,Forename,PD,,Mandatory,1..1,Free text,45
2.3,Surname,PD,,Mandatory,1..1,Free text,45
2.4,Name suffix,PD,,Optional,0..*,Coded value,46
2.5,Health practitioner role and speciality (cluster),PD,,Required,0..*,,46
2.5.1,Health practitioner role,PD,,Required,0..*,Coded value,46
2.5.2,Health practitioner specialty,PD,,Optional,0..*,Coded value,47
2.6,Health practitioner registration (cluster),PD,,Mandatory,1..1,,47
2.6.1,Health Professional body registration – type,PD,,Mandatory,1..1,Coded value,47
2.6.2,Health Professional body registration – value,PD,,Mandatory,1..1,Alpha-numeric,48
2.7,Healthcare facility name,PD,,Required,0..1,Free text,48
2.8,Healthcare facility identifier,PD,,Required,0..1,Alpha-numeric,49
2.9,Healthcare facility address (cluster),PD,,Mandatory,1..1,,49
2.9.1,Postcode,PD,,Mandatory,1..1,Alpha-numeric,49
2.9.2,Address line(s),PD,,Mandatory,1..1,Free text,50
2.9.3,Suburb/Town/ Townland/Locality,PD,,Required,0..1,Free text,50
2.9.4,District/ County,PD,,Mandatory,1..1,Coded Value,50
2.9.5,Country,PD,,Mandatory,1..1,Coded value,50
2.10,Communication details (cluster),PD,,Mandatory,1..*,,51
2.10.1,Telephone Number,PD,,Mandatory,1..1,Alpha-numeric,51
2.10.2,Email address,PD,,Required,0..*,Alpha-numeric,52
2.10.3,Other Communication details (cluster),PD,,Optional,0..*,,52
2.10.3.1,Communication details – Type,PD,,Optional,0..*,Coded value,53
2.10.3.2,Communication Details – Value,PD,,Optional,0..*,Alpha-numeric,53
2.11,Location ID (GLN),PD,,Required,0..1,Numeric,53
2.12,GMS Panel ID,,,Optional,0..1,Numeric,53
2.13,Signature,P,,Required,0..1,Multi-media,54
3.1,Electronic prescription identifier (cluster),P,,Mandatory,1..*,Alpha-numeric Alpha-numeric,57
3.1.1,Electronic prescription identifier – type,P,,Mandatory,1..1,Coded value,57
3.1.2,Electronic prescription identifier – value,P,,Mandatory,1..1,Alpha-numeric,57
3.2,Date and time of issuing the prescription,P,,Mandatory,1..1,DateTime,58
3.3,Prescription Status (cluster),P,,Mandatory,1..1,,58
3.3.1,Status,P,,Mandatory,1..1,Coded value,58
3.3.2,Status reason,P,,Required,0..1,Coded value,59
3.3.3,Status reason (free text),P,,Optional,0..1,Free text,59
3.4,Presented form,P,,Optional,0..*,Attachment,59
3.5,Prescription item (cluster),P,,Mandatory,1..*,,60
3.5.1,Prescription item identifier,P,,Mandatory,1..*,Alpha-numeric,60
3.5.2,Prescription item status (cluster),P,,Mandatory,1..1,,60
3.5.2.1,Prescription item status,P,,Mandatory,1..1,Coded value,60
3.5.2.2,Prescription item status reason,P,,Required,0..1,Coded value,60
3.5.2.3,Prescription item status reason (free text),P,,Optional,0..1,Free text,61
3.5.3,Prescribed Medication item,P,,Mandatory,1..1,,61
3.5.4,Indication for prescription item (cluster),P,,Optional,0..*,,61
3.5.4.1,Indication for prescription item,P,,Optional,0..*,Coded value,62
3.5.4.2,Indication for prescription item (free text),P,,Optional,0..1,Free text,62
3.5.5,Intended use of prescription item,P,,Optional,0..1,Coded value,62
