id,element,pd,auto,conformance,cardinality,values,page
1.1.1,Name title,,,Optional,0..*,Coded value,23
1.1.2,Forename,,,Mandatory,1..1,Free text,23
1.1.3,Middle name (s),,,Required,0..1,Free text,23
1.1.4,Surname,,,Mandatory,1..1,Free text,24
1.1.5,Name suffix,,,Optional,0..*,Coded value,24
1.1.6,Former names,,,Required,0..*,Free text,24
1.1.7,Preferred name,,,Required,0..1,Free text,25
1.2.1,Postcode,,,Required,0..1,Alpha-numeric,25
1.2.2,Address line(s),,,Mandatory,1..1,Free text,25
1.2.3,Suburb/ Town/ Townland/ Locality,,,Required,0..1,Free text,26
1.2.4,District/ County,,,Mandatory,1..1,Coded Value,26
1.2.5,Country,,,Required,0..1,Coded value,26
1.2.6,Address type,,,Mandatory,1..1,Coded value,26
1.2.7,Address use,,,Optional,0..1,Coded value,27
1.3.1,Individual Health Identifier (IHI),,,Required,0..1,Numeric,27
1.3.2,Personal Public Service Number,,,Required,0..1,Alpha-numeric,28
1.3.3,Other identifiers used in health and social care details (cluster),,,Required,0..*,,28
1.3.3.1,Other identifiers used in health and social care – type,,,Required,0..1,Coded value,29
1.3.3.2,Other identifiers used in health and social care- value,,,Required,0..1,Alpha-numeric,29
1.3.3.3,Other identifier used in health and social care - time period,,,Required,0..1,Period,30
1.3.3.4,Organisation who issued the other identifier used in health and social care,,,Required,0..1,Free text,30
1.3.4,Health insurance information (cluster),,,Required,0..*,,30
1.3.4.1,Health insurance- type,,,Required,0..1,Coded value,31
1.3.4.2,Health insurance- value,,,Required,0..1,Alpha-numeric,31
1.3.4.3,Name of organisation providing health insurance,,,Required,0..1,Coded value,31
1.4.1,Date of birth,,,Mandatory,1..1,Datetime,32
1.4.2,Estimated age (cluster),,,Optional,0..1,,32
1.4.2.1,Estimated age - value,,,Optional,0..1,Numeric,32
1.4.2.2,Estimated age - type,,,Optional,0..1,Coded value,33
1.4.3,Place of birth,,,Required,0..1,Coded value,33
1.4.4,Sex,,,Mandatory,1..1,Coded value,33
1.4.5,Gender (cluster),,,Required,0..1,,33
1.4.5.1,Gender,,,Required,0..1,Coded value,34
1.4.5.2,Other gender identity,,,Optional,0..1,Free text,34
1.4.6,Mother's former surnames,,,Required,0..*,Free text,35
1.4.7,Nationality,,,Required,0..*,Coded value,35
1.4.8,Country of affiliation,,,Required,0..1,Coded value,35
1.4.9,Preferred language,,,Optional,0..*,Coded value,36
1.4.10,Ethnicity,,,Required,0..*,Coded value,36
1.4.11,Date of death,,,Required,0..1,Datetime,37
1.4.12,Cause of death,,,Required,0..1,Coded value,37
1.5.1,Mobile phone number,,,Required,0..*,Numeric (may include +),38
1.5.2,Email address,,,Required,0..*,Alpha-numeric (@),38
1.5.3,Other communication details (cluster),,,Optional,0..*,,38
1.5.3.1,Other communication details - type,,,Optional,0..*,Coded value,39
1.5.3.2,Other communication details - value,,,Optional,0..*,Alpha-numeric,39
1.5.3.3,Other communication details - use,,,Optional,0..*,Coded value,39
1.5.4,Preferred communication method,,,Required,0..*,Coded value,40
2.1,Name title,,,Optional,0..*,Coded value,42
2.2,Forename,,,Mandatory,1..1,Free text,42
2.3,Surname,,,Mandatory,1..1,Free text,42
2.4,Name suffix,,,Optional,0..*,Coded value,43
2.5,Health practitioner role and speciality (cluster),,,Mandatory,1..*,,43
2.5.1,Health Practitioner role,,,Required,0..*,Coded value,43
2.5.2,Health practitioner specialty,,,Required,0..*,Code value,44
2.6,Health practitioner registration (cluster),,,Mandatory,1..1,,44
2.6.1,Health Professional body registration – type,,,Mandatory,1..1,Coded value,44
2.6.2,Health Professional body registration – value,,,Mandatory,1..1,Alpha-numeric,45
2.7,Healthcare facility name,,,Required,0..1,Free text,45
2.8,Healthcare facility identifier,,,Required,0..1,Alpha-numeric,45
2.9,Healthcare facility address (cluster),,,Mandatory,1..1,,46
2.9.1,Postcode,,,Mandatory,1..1,Alpha-numeric,46
